篇名,作者,关键词,摘要,没有引进词表的jieba提取的中药材,引进词表的jieba提取的中药材
肝移植受者中多重耐药革兰阴性菌的检测和同源性分析,"李浩,顾雁,邢同海,樊军卫,丁星,彭志海,钟林","革兰阴性菌,多重耐药,肝移植,分子流行病学","目的了解肝移植受者中分离的多重耐药革兰阴性菌及各菌种的同源性.方法对上海交通大学附属第一人民医院年月-年月肝移植受者的各种标本中分离菌进行微量稀释法药敏试验,ESBLs和金属β内酰胺酶(MBL)检测并应用重复序列PCR(REP-PCR)技术测定菌株的同源性.结果从例肝移植受者中,分离出株革兰阴性菌,其中多重耐药革兰阴性菌株(.％),包括鲍曼不动杆菌株(.％)、大肠埃希菌株(.％)、肺炎克雷伯菌株(.％)、嗜麦芽窄食单胞菌株(.％)、铜绿假单胞菌株(.％)和阴沟肠杆菌株(.％).产ESBLs菌株主要为肺炎克雷伯菌(.％,/)和大肠埃希菌(.％,/);产金属酶的细菌为嗜麦芽窄食单胞菌(/)、铜绿假单胞菌(/)和鲍曼不动杆菌(.％,/)；REP-PCR检测鲍曼不动杆菌个基因型,其中C型株,均在同一段时间内发现；大肠埃希菌分个基因型,B型株；肺炎克雷伯菌个基因型,E型株；铜绿假单胞菌个基因型,C型株；嗜麦芽窄食单胞菌个基因型,F型株；阴沟肠杆菌个基因型,A型、B型、C型和D型各株.结论肝移植术后多重耐药革兰阴性菌感染发生率较高；病原菌中鲍曼不动杆菌呈泛耐药,并且可能在肝移植病房暴发流行.","麦芽, 铜绿","麦芽, 铜绿"
副溶血性弧菌ERIC-PCR分型技术研究,"杨元斌,徐景野,宋启发,闫鹏","副溶血弧菌,ERIC-PCR,药敏试验","目的:应用肠杆菌基因间重复序列PCR,对不同来源的副溶血性弧菌进行鉴定、药敏和分型,探讨方法的实用性,为流行病学溯源,减少疾病的发生提供依据.方法:海产品VP分离,采用PCR筛检;腹泻病人分离,采用弧菌显色平板.可疑菌落采用氧化酶、无盐、%NaCl胨水和蔗糖等生化试验初筛,VITEK-或APIE生化条鉴定、确认.分型采用ERIC-PCR法,药敏采用纸片法.结果:VP菌株的生物学特征典型,生化反应稳定.药敏试验显示,对常用抗生素敏感,可选用头孢类、氨基糖苷、喹诺酮类等抗生素进行治疗.ERIC-PCR将株VP分成个型,其中型和型为优势型.结论:分型结果显示,来源于食品和环境的VP型别多、散,同源性差异较大,病人株则反之,型别集中,同源性近,相关性大,提示ERIC-PCR能对VP进行分型和溯源,其优势基因型可能与致病性有关.",蔗糖,蔗糖
马齿苋的开发价值与人工栽培技术,王跃强,"马齿苋,开发价值,栽培技术","马齿苋的营养价值高,药食同源,国内食用量大,是上好的绿色保健蔬菜,目前仅靠野生资源不能满足需要.介绍了马齿苋的开发价值与生物学特性,详述了其栽培技术,包括栽培品种、育苗、移栽定植、田间管理、采收等内容,以供参考.",马齿苋,马齿苋
我国葛根产业的开发思路,"何建军,梅新,陈学玲,关健,周明,王少华","葛根,产业,开发","葛根是药食同源两用植物,其保健作用明显.针对目前我国对葛根的加工利用的现状,提出了我国葛根产业发展的新思路.",葛根,葛根
影响益生菌奶片压制中活菌数因素的研究,"马强,吕嘉枥,赵维俊","益生菌,活菌数,奶片","为了提高压制益生菌奶片过程中益生菌的活菌数目,研究了菌液的添加形式、配方中主料比例及药食同源物等因素对奶片中活菌数的影响.结果表明,采用离心法获得的菌液和奶粉以∶比例混合效果最佳,压制的益生菌奶片初始活菌数能达到g-,菊芋粉作为药食同源保护剂能有效的延长产品货架期,在产品储藏年以后能保证益生菌存活数在g-以上,为进一步发展益生菌奶片提供了科学依据.",菊芋,菊芋
马齿苋降血脂作用的研究进展,"赵明,季巧遇,颜梅,何华山","马齿苋,降血脂,不饱和脂肪酸","马齿苋是药食同源的野生植物之一,其临床药理作用较多,近年来研究发现马齿苋有良好的降血脂作用,本文现对其相关研究进展进行了综述.",马齿苋,马齿苋
锁阳对雄性大鼠耐力及生化指标的影响,"王宗兵,李洁","锁阳,血清尿素氮,肝糖原,血乳酸","选用健康Vister雄性大鼠只,随机分为安静组、运动组、运动给药组组,每组只.安静组正常饮食,不运动;运动组灌喂生理盐水,运动给药组灌喂锁阳煎剂,并进行递增负荷、大强度的跑台训练,训练时间为～min,训练速度为～m/min,并每d测一次体重,第周进行跑台力竭运动后取材测试.结果表明,运动给药组大鼠力竭运动时间明显长于运动组(P<.);锁阳可以提高大鼠体内肝糖原的储备,同时耐力运动后血尿素氮升高低于运动组,乳酸堆积也减轻(P<.).说明锁阳可提高机体抗疲劳能力,且符合药食同源,在消除疲劳方面有很好的开发前景.",锁阳,锁阳
酶解薏米饮料的研制,"李存芝,黄雪松,胡长鹰,吴建中,张广文,欧仕益,郭媛芳","烘焙薏米,饮料,酶解,稳定性","薏米一直是很有价值的药食同源的保健食品,薏米本身的煮食需较长时间,以薏米为原料制得的饮料,富含薏米多种营养物质.试验中对酶解烘焙薏米饮料进行了研究,确定了工艺条件:薏米经过烘箱上下火℃,烘烤min；料水比:,中温α-淀粉酶用量.mL/kg,液化温度℃,液化时间min；糖化酶用量.mL/kg,糖化温度℃,糖化时间min.通过单因素试验和正交试验,确定了薏米饮料的稳定剂组成,脂肪酸蔗糖酯乳化剂用量.％,稳定剂黄原胶、果胶和海藻酸钠,添加量分别为.％、.％和.％.试验证明薏米饮料具有良好的稳定性.制得的饮料乳白中带有烘烤的微黄色,具有烘烤香味、香甜,甜味纯正自然.","薏米, 蔗糖, 海藻","薏米, 蔗糖, 海藻"
应用ITS序列鉴定垂盆草及其混伪品,"刘美子,罗焜,姚辉,刘萍","垂盆草,ITS,混淆品,分子鉴定,景天科","目的:通过对药食同源植物垂盆草及其混伪品进行分子鉴定,以保证该植物的临床药效及食用安全.方法:通过对样品DNA进行PCR扩增,获得ITS基因片段,纯化后的PCR产物进行双向测序,运用CodonCodeAligner进行序列的拼接、MEGA.软件进行序列分析并构建KP模型的NJ树.结果:垂盆草与其混淆品ITS序列间存在明显变异,种内遗传距离小于种间遗传距离,从NJ树中可以明显看出不同来源垂盆草聚为一支,与混伪品可以很好地区分.结论:ITS序列可有效地鉴别药用植物垂盆草及其混淆品,对中药鉴定具有潜在的应用价值.",垂盆草,垂盆草
生、炒决明子对两肾一夹高血压大鼠的降压作用,"邓凡新,张海涛,童侠,王晓艳,翁琳,于海荣","决明子,两肾一夹,高血压,大鼠,降压","决明子(SemenCassiae),又名草决明、千里光、还瞳子、马蹄子、夜拉子等,为豆科植物决明或小决明的干燥成熟种子.其性味甘、苦、成,微寒,归肝、大肠经,具有清肝明目、润肠通便、降压降脂等多种功效,是国家卫生部公布的种药食同源的物质之一.民间常用其开水浸泡后代茶饮用于控制高血压,临床上用其单味药和组方治疗高血压的报道也较多-动物实验研究表明决明子的多种成分均有降压作用.临床上生、炒决明子在降压中均有应用,但缺乏生、炒决明子降压效果比较的临床及动物实验对照研究.本研究分别给两肾一夹高血压大鼠以生、炒决明子水浸液,对比两者降压效应的强弱,明确炒制后决明子成分的变化对其总的降压效应有无明显影响,为临床用药提供实验依据.","决明子, 草决明, 千里光","决明子, 草决明, 千里光"
太子参食用开发的初步论证研究,陈家从,"太子参,食用,开发,新资源食品","目的探讨太子参食用的可行性.方法通过对太子参应用历史,与党参、人参的区别,社会人群中的食用状况及其主要成分分析,探讨其食用的可行性.结果从药食同源上溯本求源,太子参自古就有作为健体养身应用的例证.太子参与人参、党参虽同为常见的补益中药,但它们的生物归属不同,功效特点不同.太子参的功效补益且温和.太子参的主要化学成分为糖类、氨基酸类、脂肪酸类、微量元素等,符合食品应当有的营养要求.社会人群太子参食用的认知度较高,作为养生食用普遍,并非限于局部区域.结论太子参作为食用开发是可行的,但应实行安全性评估.","太子参, 党参, 人参","太子参, 党参, 人参"
山楂对正常大鼠肝脏CYPE活性的影响,肖婷,"山楂,CYPE活性","目的:探讨山楂对大鼠肝脏CYPE活性的影响,为山楂的药食同源应用提供依据.方法:实验分为正常对照组、山楂高剂量组和山楂低剂量组,给予山楂水提取液天后,抽取肝微粒体酶,利用高效液相色谱检测CYPE代谢低物的能力.结果:山楂高剂量和低剂量组均能显著抑制CYPE的活性.结论:山楂是一种良好的药食同源的中药,能通过抑制CYPE活性对机体起保护作用.",山楂,山楂
中西医结合治疗糖尿病性高血压例临床观察,方水林,"糖尿病性高血压,糖脉宁方,中西医结合疗法","糖尿病的并发症多,其慢性并发症病情更复杂难治,危害性大,可导致心、脑、肾、眼、周围神经等全身多系统和多器官的损害.糖尿病患者高血压的发病率亦高达％,是非糖尿病患者的倍.临床上很多高血压病人特别是肥胖型常伴有糖尿病,而糖尿病也较多的伴有高血压,因此将两者称之同源性疾病.糖尿病人由于血糖较高,血粘稠度增加,血管壁受损,血管阻力增加,易引起高血压.由此可知高血压与糖尿病有关.我们运用西药合糖脉宁方治疗例痰瘀互结型型糖尿病高血压病患者,疗效满意,现报道如下.一般资料所观察例病例来自我院年月～年月门诊及住院患者,随机分为治疗组例和对照组例.治疗组男性例,女性例;年龄～岁,平均.±.岁;病程～年,平均.±.岁.对照组男性例,女性例;年龄～岁,平均.±.岁;病程～年,平均.±.岁,两组病例一般资料无显著性差异(P＞.),具有可比性.治疗方法.对照组:予西医基础治疗,包括糖尿病健康教育;低盐低脂糖尿病饮食,药物控制血糖(包括口服降糖药和胰岛素注射)、血压,调节血脂、抗血小板聚集等..治疗组:在西医基础治疗上,予以糖脉宁方加减治疗,生活调摄.糖脉宁方组成:生黄芪g,太子参、生地黄各g,丹参g,麦冬、川芎各g,茯苓g,当归、陈皮、水蛭各g.每剂煎煮两次,共取药汁ml,分两次口服.辨证加味:燥热津亏,加生石膏g,知母g;阴阳两虚,加制附子g,肉桂g,龟版g.生活调摄:节制饮食,节制房事,保持情志平和,起居有常,劳逸结合.","黄芪, 太子参, 生地黄, 丹参, 麦冬, 川芎, 茯苓, 当归, 陈皮, 水蛭, 知母, 制附子, 肉桂","黄芪, 太子参, 生地黄, 丹参, 麦冬, 川芎, 茯苓, 当归, 陈皮, 水蛭, 知母, 制附子, 肉桂"
浅析三七的药理药效,"宋春慧,张大生","三七,药理,药效","三七用于治疗疾病有着悠久的历史,在<本草纲目>以前的<医门秘旨>、<跌损妙方>已有记载,历代本草中多有收载,是我国最早的药食同源植物之一.三七是五加科多年生草本植物三七Panaxnotoginseng(Burk.)F.H.Chen的根.别名参三七、三漆、田七、血参、金不换.三七,味甘、微苦,性温,归肝、胃经,以根、根状茎入药.功效为化瘀止血,活血定痛.","三七, 金不换","三七, 金不换"
sul-与sul-基因和嗜麦芽窄食单胞菌耐复方甲唑的关系,"张豫明,孙德华,曾方银","嗜麦芽窄食单胞菌,耐药性,整合子","目的分析嗜麦芽窄食单胞菌的耐药特征及耐复方甲唑相关基因的分布情况,为临床合理用药提供科学依据.方法临床分离株嗜麦芽窄食单胞菌,采用K-B法药敏试验分析其耐药性;PCR扩增Ⅰ类整合酶、Ⅰ类整合子、sul-、sul-,阳性产物测序,并用blastn与GenBank中核酸序列同源性进行比较.结果嗜麦芽窄食单胞菌对甲胺培南的耐药率最高,为%;对复方甲唑的耐药率为.%.在株耐复方甲唑菌中,株Ⅰ类整合酶阳性,株Ⅰ类整合子阳性,株sul-阳性,株sul-阳性,株sul-和sul-同时阳性.结论Ⅰ类整合子与嗜麦芽窄食单胞菌耐复方甲唑高度相关,sul-在耐复方甲唑株的携带率较高.",麦芽,麦芽
一种药膳鸡肉丸的制作工艺,"张静,徐建文,卢进峰,王雅静,李年中,王海洋,张海鹏","山楂,山药,鸡肉丸,工艺","探讨了以鸡胸肉、鸡皮为原料,添加山楂、山药等药食同源食材制作药膳鸡肉丸.使得鸡肉丸具有营养保健和口感独特的双重功效,是开发食品新工艺的有益探索.","山楂, 山药, 鸡肉","山楂, 山药, 鸡肉"
黑木耳规模化生产新技术及新模式研究与示范,张颖,"生产新技术,规模化生产,黑木耳,示范点,内蒙古自治区,集约化经营,人工栽培,纯菌接种","黑木耳亦称木耳、光木耳等,属于真菌门,曾菌纲,木耳目,木耳科,木耳属。黑木耳是我国传统的药、食同源保健食品,以质脆润喉、营养丰富而著名。其蛋白质含量远高于一般的蔬菜和水果,含有人体所必需的氨基酸和多种维生素,尤以铁含量最丰富,为各类含铁食品之冠,比肉类高倍。黑木耳不仅营养丰富,而且有润肺清胃功能,有止血、止痛、补血、活血之功效,堪称食疗佳品。黑木耳是内蒙古自治区根河市的特色产业。根河市气候属于寒温带湿润性森林气候,夏季凉爽,温度范围在～℃,且昼夜温差为℃左右,能为黑木耳生长提供天然的气候保障;同时根河市位于大兴安岭北段西坡,各大木材深加工企业的废料如木屑、锯沫等资源丰富,为黑木耳生产提供了最佳的生产原料。黑木耳的人工栽培主要经历了孢子自然接种、孢子液人工喷洒接种、纯菌接种段木栽培和纯菌接种代料栽培个发展阶段;栽培模式也经过了瓶栽、块栽、床栽和袋栽等不同模式的研究探索和实践。主要通过黑木耳代料栽培取代以往栽培的新技术,结合林下地摆和露地全光栽培的新模式,在根河市个示范点进行了规模化推广示范,年和年每百袋带来的直接经济效益分别比以往栽培方式提高了.元和.元。通过黑木耳规模化生产代料栽培新技术,结合林下及露地全光地摆新模式的推广示范,不仅给当地耳农带来了良好的经济效益,还可获得了显著的社会效益：（）带动内蒙古农业设施产业由粗放型经营向集约化经营转变,实现由数量型经营向质量型经营转变;（）通过向农民推广优质新品种、优质技术服务,有利于内蒙古农业产品结构的提升,实现农民增收的目的;（）通过典型引路的作用,对农民生产经营观念的转变具有重要引导价值,使农民进一步提高了劳动素质和市场竞争意识,以便适应市场经济的发展。同时利用了工业副产品和下脚料等再生资源发展黑木耳生产,使生态循环过程中的各种废弃物得以综合利用,促进了生态系统的良性循环,是一项无污染、绿色、高效益产业。","木耳, 铁","木耳, 铁"
出口绿芦笋保鲜技术,"章钢明,徐刘会,陈建明,罗春晓,汤燕华","出口,绿芦笋,营养丰富,保健蔬菜,消费者,国内外,Green,培土,嫩茎,绿色,出土","不经培土长出土面的绿色嫩茎称为绿芦笋(GreenAsparagus).由于绿芦笋食药同源,营养丰富,是一种高档的营养保健蔬菜,深受国内外消费者青睐.",芦笋,芦笋
高档补品消费有误区,船舷,,"近年来,在众多电视养生节目的熏染下,人们将保健的关注焦点集中在传统补药上,人参汤、草虫肉、当归茶、黄芪粥和天麻饭等""药食同源""的技法,备受人们的追捧.在条件允许的情况下,以野生名贵的滋补品为自己的健康保驾护航,以期获得强健的体魄,成为许多高端消费者的追求.在南方的这一群体中就流传着这样一句话:穿一套十几万的阿玛尼服装不算什么,开一辆兰伯基尼也不值得吹牛,三个月吃一根长白山野山参,那才是高尚生活.","人参, 当归, 黄芪, 天麻","人参, 当归, 黄芪, 天麻"
"大蒜,不是药胜于药",风华,"维护健康,人体免疫,免疫系统,保健品,免疫细胞,大蒜制品,细菌,耐药性,抗生素,提高免疫力","医学研究证明,随着年龄增长,中老年人免疫力下降,人体就会极易受到真菌、细菌和病毒的侵害,引发疾病.因此,只有调节好身体的免疫系统,才能维护健康.几个世纪以来,大蒜被奉为药食同源的神品受到关注.世界著名营养学家、《维他命圣典》作者-艾尔·敏德尔博士称:蒜制品将在未来百年,成为全世界优选的长寿保健品.蒜物质对所有现代疾病、心脑血管疾病几乎都具有保健和康复效果.大蒜杀菌抗毒、增强免疫力,预防多种日常疾病.大蒜制品为身居现代污染环境,不健康的饮食和生活方式维持健康,保驾护航.",大蒜,大蒜
养猪场中草药添加剂的应用,"彭春梅,杨智,杨世友,李维凤,曹婷","养猪场,中草药添加剂,抗生素,动物免疫力,猪肉产品,天然药物,双重作用,生产应用,来源分布,益生素,无药残,无污染,替代品,酸化剂,酶制剂,抗药性,促生长,营养,药用,问题","针对抗生素在生猪生产应用中出现的猪肉产品药残及其所产生的抗药性等问题,近几年业内同行不断研究开发的抗生素替代品主要有:益生素、酶制剂、酸化剂、中草药等.许多中草药具有抗菌、促生长、提高动物免疫力、无药残、无污染、与食物同源、来源分布广泛等特点,是一类兼有营养和药用双重作用的天然药物.",猪肉,猪肉
几种夏季养生药膳的制作方法,韩丽萍,"养生药膳,制作方法,原料配比","为了传承祖国医学几千年来药食同源、药膳制作的优秀瑰宝,概述了夏季养生药膳类的汤、粥、羹等清补的原理,详细介绍了种夏季清心泻火类药膳和消暑生津类药膳的原料选择、原料配比和制作方法。清心泻火类药膳为：苦瓜排骨煲鱼头、苦瓜香菇鲜肉卷、苦瓜酿虾仁和排骨木瓜汤等;消暑生津类药膳为：百合银耳莲子羹、双花绿豆竹叶粥和芦根荷叶粳米粥等。认为依据中医顺时养生的理论,运用药膳来调养脏腑之气,调理阴阳培补气血,可达到科学养生、强体健身之功效。同时,养生药膳的市场潜力巨大,值得不断挖掘、继承和发扬。","苦瓜, 香菇, 木瓜, 百合, 银耳, 莲子, 双花, 绿豆, 竹叶, 芦根, 荷叶, 粳米","苦瓜, 香菇, 木瓜, 百合, 银耳, 莲子, 双花, 绿豆, 竹叶, 芦根, 荷叶, 粳米"
治疗早泄药膳,杨波,,"用药膳治疗性功能障碍,可谓是中医的一大特色,其理论根据是“药食同源”.治疗早泄的药膳大部分具有滋养的作用,它可以较长时间服用,既可治病又可养生,下面介绍几种方法.、(糖)渍金橘:金橘g洗净,放在铝锅内,用勺将金橘压扁去核,加白糖g淹渍一天,待金橘浸透糖后,再以小火煮熟至汁液耗干,停火待冷后,再拌入g白糖,放盘中风干数日,装瓶备用.本品能理气、解郁、化痰、醒酒,常用于情志不畅的早泄.","金橘, 白糖","金橘, 白糖"
附子、乌头与食疗的关系探讨,何俊余,"食疗,附子,乌头,草乌,川乌","食疗之风盛行与中医药食同源有关.一般认为食疗药品应是药性平和之药,或辛香调味之品,或菜蔬类,很少有人会相信有大毒的附子、乌头会用于食疗,但民间确有将附子、乌头,甚至草乌、川乌用于食疗的,只是鲜见于杂志书籍,故对这些食疗方法作一介绍与探讨.","附子, 乌头, 草乌, 川乌","附子, 乌头, 草乌, 川乌"
山楂-鸭梨酒发酵工艺的优化研究,"王艳辉,石海燕,王颉,张玉星","山楂,鸭梨酒,均匀设计,正交试验","鸭梨、山楂均为中国传统药食同源植物,以鸭梨为主料、山楂为辅料进行混合酿酒,所得山楂-鸭梨酒感官品质优良,同时具有很好的保健作用。通过均匀设计试验、正交试验结合的方法,得到山楂-鸭梨酒最佳发酵工艺：将果汁滤液进行发酵,发酵温度℃、含糖量.%、山楂与梨汁混合比例/、酵母用量.g/L。","山楂, 酒","山楂, 酒"
千年人参——葛根,王同翠,,"葛根是豆科植物葛的根块,是中国古代的""官药"".葛根在湖北通山是古代著名的贡品.葛根生长在山区数米深的土壤之中,饱吸大地精华,可谓""千年人参"",是当今难得的无污染药食同源资源.","葛根, 人参","葛根, 人参"
巧创意桑叶制茶致富路始于足下,张三,"桑叶,制茶,创意,致富,保健食品,国家卫生部,饮食观念,保健功效","一直以来,桑叶只是用来养蚕,随着社会的不断发展,人们的饮食观念已逐渐改变,桑叶以其独特的保健功效被世人所关注.桑叶是植物之王,富含人体种氨基酸,是国家卫生部确认的""药食同源""植物,被国际食品卫生组织列入""人类世纪十大保健食品""之一.",桑叶,桑叶
洪水、泥石流灾后常见病、传染病中医药防治实践,"脱长宇,徐春茂,高佩媛","灾后传染病、常见病,中医防治实践","目的探索在特大洪水、泥石流发生后,运用中医药食同源理论,大规模采用中医食疗,以及中医专家制定的预防为主的中药汤剂,进行群体预防控制灾后常见病、传染病的新方法.方法群体食用大蒜、花椒水、黄花菜以及口服麻杏牛蒡止咳汤,健脾利湿止泻散,消风除湿冲剂,外用清热燥湿解毒片.结果据个医疗点就诊点统计,发热伴呼吸道症状、腹泻水样便、腹泻伴血便患者分别由月日例、例、例降至日未见例就诊患者,其总就诊人数也有日的人数,下降至日人.灾后传染疾病的发病率与灾前同期相比没有发生异常变化,取得了良好效果.","大蒜, 花椒, 黄花菜, 牛蒡","大蒜, 花椒, 黄花菜, 牛蒡"
苦荞麦化学成分及生物活性研究进展,"王炜,欧巧明,杨随庄","苦荞麦,生物类黄酮,手性肌醇,生物活性","苦荞麦是一种药食同源的小杂粮作物,在我国大面积种植,因其富含生物类黄酮化合物而受到广泛的重视.近年来,许多研究者还发现在苦荞麦中含有皂甙、手性肌醇等生物活性物质,证明这些物质也在具有重要的生物活性.综述了苦荞麦的化学成分和生物活性,为其进一步开发提供参考.",苦荞麦,苦荞麦
上海市鼠伤寒沙门菌流行特征及分子分型研究,"许学斌,金汇明,肖文佳,陈敏,冉陆,刁保卫,崔志刚,阚飚","鼠伤寒沙门菌,多重耐药,脉冲凝胶电泳,分子分型,传染源","目的研究上海市-年鼠伤寒沙门菌腹泻病例株的分子流行病学特征.方法追溯-年食品中分离的鼠伤寒沙门菌来源,比较鼠伤寒沙门菌食源株与腹泻株的抗生素耐药性;对全球沙门菌监测(GSS)病例和食品中分离的鼠伤寒沙门菌进行血清、耐药表型和脉冲凝胶电泳(PFGE)分子分型.结果经培养确认的鼠伤寒沙门菌腹泻病例数,在-年本市非伤寒沙门菌型病例构成中仅次于肠炎沙门菌,食品菌株多源于禽(.%)和畜肉制品(.%),其多重耐药菌株显著高于腹泻株(P<.).PFGE将株食品株和株腹泻株分为种带型,优势型为型(株)、型(株)、型(株)、型(株)和型(株),与食源菌株完全匹配的仅有型、型共个病例(.%,/).PFGE-型腹泻株在和年分别为例和例,型分别为例和例.结论上海市鼠伤寒沙门菌腹泻病例存在高度散发和分散爆发的流行特征,没有与本地食品菌株相匹配的优势克隆型分别是PFGE型和型,与市售生鲜类肉食品污染株之间的遗传同源性低.推测传染源可能由输入性传染源对食品等媒介形成二次污染所致.建议加强流行病学调查,以揭示潜在的传染源和传播途径.",鼠,鼠
辣椒的药理作用研究进展,"张晶,金莎,董蕊,李慧萍",,"辣椒CapsicumannuumL.是茄科(Solanaceae)辣椒属(Capsicum)植物,又名番椒、海椒、棒椒、红辣椒、辣子、辣茄等,以果实、根和茎枝入药~().是一种药食同源的植物,原产于南美洲.全世界有近/的人口经常食用辣椒.中国、印度、西班牙等国都是世界著名的辣椒产地.",辣椒,辣椒
维药恰玛古的研究现状,"李巧娟,肖春霞,张洪亮","芜菁,维药,道地药材,恰玛古","恰玛古即芜菁.又名蔓菁.是新疆维吾尔族居民喜爱的并有较长历史的药食同源之品,经历代文献考证具有开胸顺气、健胃消食、解毒等作用.现代药理研究,其中黄酮、皂苷等成分具有抗肿瘤、抗衰老、防辐射、调节免疫功能等作用.本文对其药用进行系统综述并为芜菁开发研究提出建议.",芜菁,芜菁
甲状腺功能减低孕鼠补充甲状腺素对子代脑组织同源盒基因Nkx.mRNA表达的影响,"李敬华,张瑞,汪蓓蕾,娜仁,李媛,赵秀娟,梁东春,郭刚","甲状腺功能减退症,基因,同源盒,甲状腺素,聚合酶链反应","目的通过对妊娠期甲状腺功能减低(甲低)大鼠补充左旋甲状腺素(L-thyroxine,L-T),探讨甲状腺素对子代鼠脑组织同源盒基因Nkx.mRNA表达影响,探讨该基因的表达与甲状腺素水平之间的关系.方法Wistar雌性大鼠只,按体重分层随机分为对照组、甲低非治疗组,甲低孕鼠妊娠早期(妊娠第～天)补充L-T高、中、低剂量组,甲低孕鼠妊娠晚期(妊娠第天至分娩后第天)补充L-T高、中、低剂量组,共组,每组只;补充L-T高、中、低剂量分别为:.、.、.μg/g体重.各组均给予低碘饮食,对照组饮用碘浓度为μg/L碘酸钾溶液,其余组饮用去离子水.个月后各组均与正常雄性大鼠交配,确定受孕后各甲低给药组于不同时期给予补充L-T.各组分别取孕第天胎鼠、新生及出生后第天龄仔鼠前脑组织,实时荧光定量PCR(Real-timePCR)检测Nkx.mRNA水平.结果甲低孕鼠妊娠早期补充L-T高、中、低剂量组,甲低孕鼠妊娠晚期补充L-T高、中、低剂量组,甲低非治疗组、对照组大鼠血清TT分别为(.±.)、(.±.)、(.±.)、(.±.)、(.±.)、(.±.)、(.±.)、(.±.)nmol/L(F=.,P＜.);TT分别为(.±.)、(.±.)、(.±.)、(.±.)、(.±.)、(.±.)、(.±.)、(.±.)nmol/L(F=.,P＜.);FT分别为(.±.)、(.±.)、(.±.)、(.±.)、(.±.)、(.±.)、(.±.)、(.±.)pmol/L(F=.,P＜.);FT分别为(.±.)、(.±.)、(.±.)、(.±.)、(.±.)、(.±.)、(.±.)、(.±.)pmol/L(F=.,P＜.).甲低非治疗组在妊娠第天胎鼠Nkx.mRNA水平(.×-±.×-)低于对照组胎鼠(.×-±.×-)(t=.,P＜.);甲低非治疗组在新生期仔鼠Nkx.mRNA水平(.×-±.×-)低于对照组仔鼠(.×-±.×-)(t=.,P＜.);甲低非治疗组在生后第天仔鼠Nkx.mRNA水平(.×-±.×-)低于对照组仔鼠(.×-±.×-)(t=.,P＜.).甲低孕鼠妊娠早期补充L-T中等剂量组在妊娠第天胎鼠、新生、生后第天仔鼠脑组织Nkx.mRNA表达水平逐渐降低,分别为(.×-±.×-)、(.×-±.×-)、(.×-±.×-)(F=.,P＜.).甲低孕鼠妊娠早期补充L-T中等剂量组妊娠第天胎鼠、新生、生后第天仔鼠脑组织Nkx.mRNA水平接近对照组,差异无统计学意义(t值分别为.、.、.,P值均＞.).结论大鼠脑组织同源盒基因Nkx.mRNA的表达与甲状腺素水平存在关联.",鼠,鼠
洋葱的研究,"李旻,赵磊,王金鹏,王砚,王书林","洋葱,资源,化学成分,药理作用,食品工业","洋葱(AlliumcepaL.),俗称圆葱或葱头,为百合科葱属植物,常以肥大的鳞茎作为蔬菜食用.中医自古有药食同源之说,洋葱除具食用价值外,还具广泛的药用价值,是一药食两用植物,国内收载于<中药大辞典>,国外<德国E委员会草药名录><世界卫生组织草药专论名录>等亦有收载.",洋葱,洋葱
一株产白藜芦醇虎杖内生真菌的分离和鉴定,"刘芸,殷红,仇农学","药用植物,HPLC检测,ITS序列分析,拟轮枝镰孢菌","从药食同源植物虎杖根中分离得到株内生真菌,在马铃薯葡萄糖液体培养基(PDB)中发酵后对所有内生真菌发酵液进行HPLC检测,有株菌的发酵液中相关成分与白藜芦醇标准品保留时间一致,确定株菌能产生白藜芦醇,在此基础上测定了株菌的生长曲线.其中菌株H生长最旺盛,白藜芦醇产量最高.应用形态学及ITS序列分析方法对其进行鉴定,确定为拟轮枝镰孢菌Fusariumverticillioides.","虎杖, 马铃薯","虎杖, 马铃薯"
姜黄素提取与精制工艺研究进展,"黄惠芳,吕平,俞奔驰","姜黄素,提取,精制,研究进展","姜黄素属于药食同源并且为国内外允许使用的食品添加剂.本文综合论述并比较分析了姜黄素的提取工艺,常见的提取工艺有醇提法、酸碱提取法、酶法、水杨酸钠法、超临界CO萃取法等,以醇提法最为常用.姜黄素精制纯化工艺有聚酰胺吸附法、大孔树脂吸附法、活性碳层析法、硅胶柱层析法、乙酸沉淀法、甲醇-水结晶法、正丙醇重结晶法、混合溶剂分离纯化法等.",姜黄,姜黄
华中五味子中化学活性成分和药理作用研究进展,"崔淇,姚望,张丞","五味子,化学成分,药理作用","目的对华中五味子中化学活性成分及其药理作用的研究成果进行整理,以便为以后华中五味子的研究、应用提供参考.方法通过查阅国内外大量相关文献,进行分析、归纳、综合,做出一般性结论.结果华中五味子果实中含有木脂体类化合物和三萜类化合物是五味子中含有的具有代表性的化合物,具有保肝、镇静、扩张血管、祛痰、止咳、抗衰老、提高免疫力等作用.结论五味子具有良好的药用价值和营养价值,是很多合成药物的潜在资源,也是一种新型的""药食同源""功能性保健食品.",五味子,五味子
大蒜的功能性成分及保健功能,"张柯,张浩玉","大蒜,功能性成分,保健功能,开发利用","大蒜是一种药食同源的食物.介绍了大蒜中功能性成分,包括大蒜新素、大蒜辣素、蒜氨酸、蒜酶、超氧化物歧化酶、大蒜多糖、有机硒、有机锗,概述了大蒜具有的保健功能,指出大蒜开发利用的现状及存在问题.",大蒜,大蒜
